method,seed,overall_mse,overall_rmse,overall_l1,overall_gmean,overall_count,many_mse,many_rmse,many_l1,many_gmean,many_count,median_mse,median_rmse,median_l1,median_gmean,median_count,few_mse,few_rmse,few_l1,few_gmean,few_count,strategy,model,k
knn,0,137.0841710424916,11.70829496735078,9.212648511682666,5.77115593695042,954,75.0643221468135,8.663966882832222,5.780266906738281,2.969617424928011,125,169.81111397753585,13.031159348942666,10.940304121590385,7.6096768246422695,526,105.8568084290476,10.288673793499704,7.629482999493186,4.696889322386096,303,none,knn,15
gradient_boosting,0,90.65718975408191,9.521406920937784,7.468285576568507,4.84629886519921,954,112.46299272881123,10.604857034812456,8.018641345761534,4.325684839307225,125,82.4814800237946,9.08193151393439,7.252383249239883,4.869953557179884,526,95.85421267913134,9.790516466414392,7.616041857181471,5.03616977518785,303,none,gradient_boosting,15
ridge,0,92.2294607154644,9.60361706418287,7.516958152723013,4.921382367662245,954,124.28680066072575,11.148399017828782,8.615948577880859,5.650757866479203,125,82.73362169650265,9.095802421804393,7.239828726184685,4.792492167219701,526,95.48901131221754,9.77184789649417,7.5446686319785545,4.86782389558027,303,none,ridge,15
knn_vanilla,0,118.08549437191547,10.866714976105497,8.522248875919878,5.477846041665117,954,83.50199319906676,9.137942503598213,6.319357406616211,3.6155993498456276,125,138.26570924402728,11.758644022336389,9.725595894875182,6.5480833493096915,526,97.32029511077779,9.865104921427738,7.342053832000632,4.769785966570947,303,vanilla,knn,15
ridge_vanilla,0,114.92102309544897,10.72012234517167,8.444841352898619,5.695325976129469,954,122.08580655286883,11.049244614581978,8.081831100463868,4.78824884501125,125,113.49846943385906,10.653566043060842,8.578885687621375,5.952999866891073,526,114.43476993973545,10.697418844737054,8.361900631744083,5.665516585839453,303,vanilla,ridge,15
knn_subsample,0,183.15980186874478,13.533654416629116,10.710408442675192,6.821276918752284,954,52.15534820261679,7.22186597789081,4.729001953125,2.7231992911635357,125,240.19914070257786,15.498359290666153,13.184301115260832,9.547014991837575,526,138.1857572537936,11.755243819410707,8.883373014997728,5.558095152735231,303,subsample,knn,15
ridge_subsample,0,153.6626207438168,12.396072795196744,9.403004626308098,5.815447518865206,954,102.77289055787674,10.137696511430827,6.398309753417969,3.449067000855234,125,174.3131382896159,13.202770099097231,10.38585126898588,6.794365373331575,526,138.80798062550718,11.781679872815557,8.9363693954921,5.506666223411686,303,subsample,ridge,15
knn_smoter,0,175.93605660144232,13.264088984979042,10.462983827027127,6.66471950162749,954,62.454916861208126,7.902842327998713,5.362366676315721,3.215378409166754,125,226.51117988760473,15.050288365596346,12.53407894699073,8.798801122441118,526,134.95462960146813,11.616997443464818,8.97183237731778,5.558287982459828,303,smoter,knn,15
ridge_smoter,0,149.22568700293294,12.215796617614954,9.526755760800663,5.950398996560276,954,115.61208400736801,10.752305985572026,7.0277841796875,3.5827828388268466,125,165.79051977110373,12.875966750931898,10.351579648007005,7.070506297912359,526,134.3365726081732,11.590365507962776,9.12581214023502,5.4376015767553145,303,smoter,ridge,15
knn_inverse,0,251.0284185985127,15.843876375385939,13.033406205647147,8.986632176332291,954,77.35872517197629,8.795380899766439,6.605615982055664,4.673761643295988,125,337.90241237302945,18.382122085685033,16.065087383690894,12.469413757374003,526,171.86337223851672,13.109667129203423,10.422216365046234,6.664834097380229,303,inverse,knn,15
ridge_inverse,0,181.85506919577463,13.485365000465306,10.55800721830292,6.7777819253567815,954,143.84824345397874,11.993675143757176,8.577980926513671,4.929861284366559,125,214.38392162233293,14.641855129126668,11.79232709761355,8.122231661980159,526,141.06522378770464,11.87708818640767,9.232103026739441,5.645420552747546,303,inverse,ridge,15
