method,seed,overall_mse,overall_rmse,overall_l1,overall_gmean,overall_count,many_mse,many_rmse,many_l1,many_gmean,many_count,median_mse,median_rmse,median_l1,median_gmean,median_count,few_mse,few_rmse,few_l1,few_gmean,few_count,strategy,model,k
knn,3,130.66976182431048,11.4310875171311,8.887631058443018,5.1805338213255,954,88.8365545773681,9.425314561189357,6.114133438110351,2.9573300717323963,125,163.80903303242542,12.798790295665658,10.607477750161754,6.810749373609825,526,90.39878575302116,9.507827604296429,7.046204796718685,4.060213067939175,303,none,knn,15
gradient_boosting,3,91.48556900653614,9.564808884997971,7.437906121573993,4.75301290607599,954,122.77585846141402,11.080426817655267,8.02861639478415,4.370384718413744,125,83.83548015657628,9.156171697635223,7.255945098313837,4.763383339437753,526,91.85738601386005,9.584225895389782,7.510093296767301,4.901880002799438,303,none,gradient_boosting,15
ridge,3,92.36469883081541,9.610655483931126,7.52036411957171,4.970372408999603,954,123.94736791113468,11.13316522428077,8.338216827392579,5.061673005710435,125,81.62550820328119,9.0346836249689,7.206840243176362,4.872388927713673,526,97.97849630620512,9.898408776475394,7.727235309361625,5.10668017953193,303,none,ridge,15
xgboost,3,98.52839512973063,9.926147043527545,7.781463619048241,4.974472120429391,954,120.3982654619648,10.972614340345913,7.744656875610351,4.314580976360221,125,91.37627636613115,9.55909390926416,7.679872857300501,5.109011492208823,526,101.9220607341004,10.095645632355584,7.973006799276119,5.036464575444282,303,none,xgboost,15
knn_vanilla,3,114.14073234817681,10.68366661536089,8.35942377934166,5.3821418525041596,954,96.32128156139132,9.814340607569687,6.7057017211914065,3.841713538589874,125,134.9467427638281,11.616657986005618,9.608439391103534,6.829826929214075,526,85.37330617562107,9.239767647274528,6.873394226477091,4.09043259134158,303,vanilla,knn,15
ridge_vanilla,3,113.20080355921003,10.639586625391516,8.247327558649411,5.210142364296803,954,149.7329874593815,12.236543117211719,8.731553176879883,5.028803742951621,125,107.9190949345367,10.388411569365969,8.26295232954134,5.425616326360888,526,107.29867731847321,10.358507485080716,8.020440325091775,4.927699881218339,303,vanilla,ridge,15
knn_inverse,3,265.0554183312431,16.280522667630887,13.055180677577884,8.63780137950562,954,125.5038845952521,11.202851627833518,7.454974792480469,4.2184912970835535,125,357.4683642139667,18.90683379664524,16.129425226508893,11.99366106339743,526,162.1997489671713,12.735766524523418,10.02868926800517,6.566659818292572,303,inverse,knn,15
ridge_inverse,3,202.3143054183787,14.22372333175736,11.068363247677466,7.180760058142712,954,170.23742524554626,13.047506476164182,8.838715209960938,5.260121211854586,125,247.07279514184992,15.718549396870245,12.61717774568855,8.714826888745465,526,137.8477853756664,11.74085965232812,9.299483969660088,5.8339188765776315,303,inverse,ridge,15
gpt2_vanilla,3,90.03513806303239,9.48868473830975,7.3985905817219795,4.810188476698499,954,113.56698967102965,10.656781393602369,7.710993637084961,4.577780079047475,125,80.46848817020447,8.970422964955691,7.143142352086056,4.76697749398118,526,96.93473011790977,9.845543667970285,7.713162815610175,4.986983768194832,303,vanilla,gpt2,15
gpt2_inverse,3,128.14968171270317,11.320321625850706,8.847957579094908,5.608761776973615,954,110.53461042463567,10.51354414194546,7.579258377075195,4.469197944472599,125,136.20548509689874,11.670710565209761,9.283485133385025,6.064942892143586,526,121.43196333290634,11.019617204463426,8.615284003833732,5.377814441631438,303,inverse,gpt2,15
