age_bin,count,mae
0-5,1,3.0158216394484043
5-10,0,
10-15,1,11.013116858899593
15-20,40,18.164237470855007
20-25,31,21.692022389206553
25-30,52,26.78301767127302
30-35,45,31.88059484904839
35-40,62,36.88461128530663
40-45,80,41.97614504310768
45-50,97,47.25062780860408
50-55,132,52.248364742534854
55-60,110,57.00435226925395
60-65,92,62.10040899101422
65-70,74,67.02699968262853
70-75,70,71.87058227195936
75-80,46,77.23065965098289
80-85,15,81.41428709731748
85-90,6,87.01377172581851
90-95,0,
95-100,0,
