age_bin,count,mae
0-5,1,2.9374694228172302
5-10,0,
10-15,1,10.932941362261772
15-20,40,18.0890275885351
20-25,31,21.615707533253776
25-30,52,26.70767849096312
30-35,45,31.804873923295073
35-40,62,36.809956744012815
40-45,80,41.900705529702826
45-50,97,47.176190913645264
50-55,132,52.17367068841828
55-60,110,56.92980654253201
60-65,92,62.025174552777216
65-70,74,66.95199013743046
70-75,70,71.79529295845755
75-80,46,77.15322956378046
80-85,15,81.33611343801022
85-90,6,86.9371824581176
90-95,0,
95-100,0,
