age_bin,count,mae
0-5,1,3.0382523238658905
5-10,0,
10-15,1,11.031859748065472
15-20,40,18.18562910691835
20-25,31,21.711015035488433
25-30,52,26.804401108314497
30-35,45,31.901103118517334
35-40,62,36.90709991161261
40-45,80,41.99747342457995
45-50,97,47.27288289072434
50-55,132,52.27038058720416
55-60,110,57.02664776737378
60-65,92,62.12269961034231
65-70,74,67.04882242807464
70-75,70,71.8929115831852
75-80,46,77.25031846595685
80-85,15,81.43496154112121
85-90,6,87.03641142447789
90-95,0,
95-100,0,
