age_bin,count,mae
0-5,1,2.9533377699553967
5-10,0,
10-15,1,10.951309904456139
15-20,40,18.10298772631213
20-25,31,21.62930200285008
25-30,52,26.72266546959201
30-35,45,31.819486276722618
35-40,62,36.82535291379017
40-45,80,41.91660161502659
45-50,97,47.19169345336784
50-55,132,52.189714587293565
55-60,110,56.945630186085
60-65,92,62.04187703582094
65-70,74,66.96764031591246
70-75,70,71.8120462563421
75-80,46,77.1691239229201
80-85,15,81.35464040388663
85-90,6,86.95387878455222
90-95,0,
95-100,0,
