age_bin,count,mae
0-5,1,3.0646900087594986
5-10,0,
10-15,1,11.062837034463882
15-20,40,18.21317263515666
20-25,31,21.739602570812547
25-30,52,26.833111311022478
30-35,45,31.930585495134196
35-40,62,36.935487038245604
40-45,80,42.026658554328606
45-50,97,47.302060815131235
50-55,132,52.30036627066632
55-60,110,57.05606249956922
60-65,92,62.1525812316281
65-70,74,67.07853892168684
70-75,70,71.92227570643382
75-80,46,77.28128934109017
80-85,15,81.46431458741426
85-90,6,87.06458836048841
90-95,0,
95-100,0,
