age_bin,count,mae
0-5,1,2.994566834066063
5-10,0,
10-15,1,10.988205123692751
15-20,40,18.141828256100418
20-25,31,21.66918032718522
25-30,52,26.761260659245846
30-35,45,31.85802854648274
35-40,62,36.863751731595144
40-45,80,41.95424036950571
45-50,97,47.23015224345067
50-55,132,52.227733408372536
55-60,110,56.98369525267573
60-65,92,62.0792761394177
65-70,74,67.00612577183071
70-75,70,71.85028114380714
75-80,46,77.20855177692947
80-85,15,81.39245641371235
85-90,6,86.99357418351185
90-95,0,
95-100,0,
