age_bin,count,mae
0-5,1,2.989717945456505
5-10,0,
10-15,1,10.981865763664246
15-20,40,18.134368018922395
20-25,31,21.659976636750564
25-30,52,26.7533871569814
30-35,45,31.850039889042577
35-40,62,36.856078078579756
40-45,80,41.945386045007034
45-50,97,47.22205142021064
50-55,132,52.21968747584403
55-60,110,56.975807603787295
60-65,92,62.072169093040586
65-70,74,66.99810660508386
70-75,70,71.8424553664002
75-80,46,77.20002969907111
80-85,15,81.38270104148735
85-90,6,86.9842804952835
90-95,0,
95-100,0,
