age_bin,count,mae
0-5,1,2.9861629214137793
5-10,0,
10-15,1,10.98450682964176
15-20,40,18.136846809834243
20-25,31,21.664370146850423
25-30,52,26.75582013035623
30-35,45,31.853314762541817
35-40,62,36.85796634958036
40-45,80,41.94940282616299
45-50,97,47.224034157235984
50-55,132,52.22186965512281
55-60,110,56.977848355048756
60-65,92,62.07369083114495
65-70,74,67.00048106159964
70-75,70,71.84448352947032
75-80,46,77.20372310967144
80-85,15,81.38748106956481
85-90,6,86.98731343417118
90-95,0,
95-100,0,
