age_bin,count,mae
0-5,1,3.080326594412327
5-10,0,
10-15,1,11.085315771400928
15-20,40,18.22717732777819
20-25,31,21.751171408641724
25-30,52,26.84827581814562
30-35,45,31.94343905631039
35-40,62,36.94767304768245
40-45,80,42.03854245180264
45-50,97,47.31344573230473
50-55,132,52.31185280779997
55-60,110,57.06837223297493
60-65,92,62.165467014576755
65-70,74,67.09150439133313
70-75,70,71.93416525609791
75-80,46,77.29691197156258
80-85,15,81.47609884490569
85-90,6,87.07670868312319
90-95,0,
95-100,0,
