age_bin,count,mae
0-5,1,2.9688772689551115
5-10,0,
10-15,1,10.959365427494049
15-20,40,18.116924077644946
20-25,31,21.636678932054387
25-30,52,26.7370958306755
30-35,45,31.83188115875754
35-40,62,36.842027594515635
40-45,80,41.93050503819249
45-50,97,47.20880187972996
50-55,132,52.2077919642695
55-60,110,56.962910015237604
60-65,92,62.05859525698116
65-70,74,66.98406902617599
70-75,70,71.82932743762753
75-80,46,77.18115896925978
80-85,15,81.37081627932687
85-90,6,86.97219275155415
90-95,0,
95-100,0,
