age_bin,count,mae
0-5,1,2.945799756795168
5-10,0,
10-15,1,10.952602989971638
15-20,40,18.102115187514574
20-25,31,21.63008137984622
25-30,52,26.72236492538538
30-35,45,31.81872515819139
35-40,62,36.82470845689456
40-45,80,41.91604579775594
45-50,97,47.19201605624913
50-55,132,52.1910682177792
55-60,110,56.9456046174873
60-65,92,62.04222824993422
65-70,74,66.96772931571546
70-75,70,71.81093823931047
75-80,46,77.17014216574962
80-85,15,81.35417553459605
85-90,6,86.95513865289588
90-95,0,
95-100,0,
