age_bin,count,mae
0-5,1,3.009347464889288
5-10,0,
10-15,1,11.01657484844327
15-20,40,18.167012431519105
20-25,31,21.702798715462126
25-30,52,26.787740152006826
30-35,45,31.884812946617604
35-40,62,36.88658358964829
40-45,80,41.979549118829894
45-50,97,47.251779368579314
50-55,132,52.24848233637485
55-60,110,57.00505507069386
60-65,92,62.10091374328603
65-70,74,67.02841006384256
70-75,70,71.8704321704938
75-80,46,77.2369937125148
80-85,15,81.41440847478808
85-90,6,87.01209412422031
90-95,0,
95-100,0,
