age_bin,count,mae
0-5,1,2.8866390883922577
5-10,0,
10-15,1,10.872444331645966
15-20,40,18.029971182905136
20-25,31,21.551757224144474
25-30,52,26.649767291230653
30-35,45,31.74528574993213
35-40,62,36.75459257885814
40-45,80,41.84239467801526
45-50,97,47.12145685972934
50-55,132,52.12135549962069
55-60,110,56.87614014419643
60-65,92,61.97147744553892
65-70,74,66.89830373167186
70-75,70,71.7424010365137
75-80,46,77.09632148755634
80-85,15,81.27997793455918
85-90,6,86.88470458860199
90-95,0,
95-100,0,
