age_bin,count,mae
0-5,1,2.961024731397629
5-10,0,
10-15,1,10.968290477991104
15-20,40,18.116652071196587
20-25,31,21.647201170964586
25-30,52,26.73492657020688
30-35,45,31.833997572461765
35-40,62,36.834132756917704
40-45,80,41.928270124970005
45-50,97,47.199867291433605
50-55,132,52.197816479697146
55-60,110,56.953681294823234
60-65,92,62.049122966299564
65-70,74,66.9769627012413
70-75,70,71.81792566302632
75-80,46,77.18508395957558
80-85,15,81.36209172035257
85-90,6,86.95794639301796
90-95,0,
95-100,0,
