age_bin,count,mae
0-5,1,2.910425901412964
5-10,0,
10-15,1,10.911258548498154
15-20,40,18.062092434242366
20-25,31,21.58686611488942
25-30,52,26.682037474157717
30-35,45,31.77779684530364
35-40,62,36.782677654897974
40-45,80,41.874162207450716
45-50,97,47.14999049594722
50-55,132,52.14831893343592
55-60,110,56.90300548354333
60-65,92,61.99949088838437
65-70,74,66.92468484138718
70-75,70,71.76942683554121
75-80,46,77.12873789862446
80-85,15,81.31009352455537
85-90,6,86.9128726311028
90-95,0,
95-100,0,
