age_bin,count,mae
0-5,1,2.9800179582089186
5-10,0,
10-15,1,10.995821014046669
15-20,40,18.129273912776263
20-25,31,21.657785497665888
25-30,52,26.747847637770555
30-35,45,31.84582972795599
35-40,62,36.84821944656752
40-45,80,41.94061036601197
45-50,97,47.21422492904762
50-55,132,52.21072281851913
55-60,110,56.96744936789301
60-65,92,62.063865783118196
65-70,74,66.9900453424937
70-75,70,71.83459892520415
75-80,46,77.19795465607034
80-85,15,81.37797666390738
85-90,6,86.97803360192727
90-95,0,
95-100,0,
